division,team,wins,losses,wp,gb,payroll,year,extra
East,New York Yankees,95,67,0,.586,,2012,"$197,962,289"
East,Baltimore Orioles,93,69,0,.574,2.0,2012,"$81,428,999"
East,Tampa Bay Rays,90,72,0,.556,5.0,2012,"$64,173,500"
East,Toronto Blue Jays,73,89,0,.451,22.0,2012,"$75,489,200"
East,Boston Red Sox,69,93,0,.426,26.0,2012,"$173,186,617"
Central,Detroit Tigers,88,74,0,.543,,2012,"$132,300,000"
Central,Chicago White Sox,85,77,0,.525,3.0,2012,"$96,919,500"
Central,Kansas City Royals,72,90,0,.444,16.0,2012,"$60,916,225"
Central,Cleveland Indians,68,94,0,.420,20.0,2012,"$78,430,300"
Central,Minnesota Twins,66,96,0,.407,22.0,2012,"$94,085,000"
West,Oakland Athletics,94,68,0,.580,,2012,"$55,372,500"
West,Texas Rangers,93,69,0,.574,1.0,2012,"$120,510,974"
West,Los Angeles Angels,89,73,0,.549,5.0,2012,"$154,485,166"
West,Seattle Mariners,75,87,0,.463,19.0,2012,"$81,978,100"
East,Boston Red Sox,97,65,0,.599,,2013,$
East,Tampa Bay Rays,92,71,0,.564,,2013,$
East,Baltimore Orioles,85,77,0,.525,12.0,2013,$
East,New York Yankees,85,77,0,.525,12.0,2013,$
East,Toronto Blue Jays,74,88,0,.457,23.0,2013,$
Central,Detroit Tigers,93,69,0,.574,,2013,$
Central,Cleveland Indians,92,70,0,.568,1.0,2013,$
Central,Kansas City Royals,86,76,0,.531,7.0,2013,$
Central,Minnesota Twins,66,96,0,.407,27.0,2013,$
Central,Chicago White Sox,63,99,0,.389,30.0,2013,$
West,Oakland Athletics,96,66,0,.593,,2013,$
West,Texas Rangers,91,72,0,.558,,2013,$
West,Los Angeles Angels,78,84,0,.481,18.0,2013,$
West,Seattle Mariners,71,91,0,.438,25.0,2013,$
West,Houston Astros,51,111,0,.315,45.0,2013,$
East,Baltimore Orioles,96,66,0,.593,,2014,"$107,406,623"
East,New York Yankees,84,78,0,.518,12.0,2014,"$203,812,506"
East,Toronto Blue Jays,83,79,0,.512,13.0,2014,"$132,628,700"
East,Tampa Bay Rays,77,85,0,.475,19.0,2014,"$77,062,891"
East,Boston Red Sox,71,91,0,.438,25.0,2014,"$162,817,411"
Central,Detroit Tigers,90,72,0,.556,,2014,"$162,228,527"
Central,Kansas City Royals,89,73,0,.549,1.0,2014,"$92,034,345"
Central,Cleveland Indians,85,77,0,.525,5.0,2014,"$82,534,800"
Central,Chicago White Sox,73,89,0,.451,17.0,2014,"$91,159,254"
Central,Minnesota Twins,70,92,0,.432,20.0,2014,"$85,776,500"
West,Los Angeles Angels,98,64,0,.605,,2014,"$155,692,000"
West,Oakland Athletics,88,74,0,.543,10.0,2014,"$83,401,400"
West,Seattle Mariners,87,75,0,.537,11.0,2014,"$92,081,943"
West,Houston Astros,70,92,0,.432,28.0,2014,"$44,544,174"
West,Texas Rangers,67,95,0,.414,31.0,2014,"$136,036,172"
East,Toronto Blue Jays,93,69,0,.574,,2015,
East,New York Yankees,87,75,0,.537,6.0,2015,
East,Baltimore Orioles,81,81,0,.500,12.0,2015,
East,Tampa Bay Rays,80,82,0,.494,13.0,2015,
East,Boston Red Sox,78,84,0,.481,15.0,2015,
Central,Kansas City Royals,95,67,0,.586,,2015,
Central,Minnesota Twins,83,79,0,.512,12.0,2015,
Central,Cleveland Indians,81,80,0,.503,,2015,
Central,Chicago White Sox,76,86,0,.469,19.0,2015,
Central,Detroit Tigers,74,87,0,.460,,2015,
West,Texas Rangers,88,74,0,.543,,2015,
West,Houston Astros,86,76,0,.531,2.0,2015,
West,Los Angeles Angels,85,77,0,.525,3.0,2015,
West,Seattle Mariners,76,86,0,.469,12.0,2015,
West,Oakland Athletics,68,94,0,.420,20.0,2015,
East,Boston Red Sox,93,69,0,.574,,2016,$
East,Baltimore Orioles,89,73,0,.549,4.0,2016,$
East,Toronto Blue Jays,89,73,0,.549,4.0,2016,$
East,New York Yankees,84,78,0,.519,9.0,2016,$
East,Tampa Bay Rays,68,94,0,.420,25.0,2016,$
Central,Cleveland Indians,94,67,0,.584,,2016,$
Central,Detroit Tigers,86,75,0,.534,8.0,2016,$
Central,Kansas City Royals,81,81,0,.500,13.5,2016,$
Central,Chicago White Sox,78,84,0,.481,16.5,2016,$
Central,Minnesota Twins,59,103,0,.364,35.5,2016,$
West,Texas Rangers,95,67,0,.586,,2016,$
West,Seattle Mariners,86,76,0,.531,9.0,2016,$
West,Houston Astros,84,78,0,.519,11.0,2016,$
West,Los Angeles Angels,74,88,0,.457,21.0,2016,$
West,Oakland Athletics,69,93,0,.426,26.0,2016,$
East,Boston Red Sox,93,69,0,.574,,2017,
East,New York Yankees,91,71,0,.562,2.0,2017,
East,Tampa Bay Rays,80,82,0,.494,13.0,2017,
East,Toronto Blue Jays,76,86,0,.469,17.0,2017,
East,Baltimore Orioles,75,87,0,.463,18.0,2017,
Central,Cleveland Indians,102,60,0,.630,,2017,
Central,Minnesota Twins,85,77,0,.525,17.0,2017,
Central,Kansas City Royals,80,82,0,.494,22.0,2017,
Central,Chicago White Sox,67,95,0,.414,35.0,2017,
Central,Detroit Tigers,64,98,0,.395,38.0,2017,
West,Houston Astros,101,61,0,.623,,2017,
West,Los Angeles Angels,80,82,0,.494,21.0,2017,
West,Seattle Mariners,78,84,0,.481,23.0,2017,
West,Texas Rangers,78,84,0,.481,23.0,2017,
West,Oakland Athletics,75,87,0,.463,26.0,2017,
East,Boston Red Sox,108,54,0,.667,,2018,"$206,247,686"
East,New York Yankees,100,62,0,.617,8.0,2018,"$161,305,917"
East,Tampa Bay Rays,90,72,0,.556,18.0,2018,"$69,605,999"
East,Toronto Blue Jays,73,89,0,.451,35.0,2018,"$164,122,200"
East,Baltimore Orioles,47,115,0,.290,61.0,2018,"$148,160,873"
Central,Cleveland Indians,91,71,0,.562,,2018,"$136,652,167"
Central,Minnesota Twins,78,84,0,.481,13.0,2018,"$129,560,000"
Central,Detroit Tigers,64,98,0,.395,27.0,2018,"$111,286,000"
Central,Chicago White Sox,62,100,0,.383,29.0,2018,"$86,050,333"
Central,Kansas City Royals,58,104,0,.358,33.0,2018,"$115,483,116"
West,Houston Astros,103,59,0,.636,,2018,"$172,038,900"
West,Oakland Athletics,97,65,0,.599,6.0,2018,"$62,652,500"
West,Seattle Mariners,89,73,0,.549,14.0,2018,"$165,303,943"
West,Los Angeles Angels,80,82,0,.494,23.0,2018,"$171,248,332"
West,Texas Rangers,67,95,0,.414,36.0,2018,"$128,821,249"
East,New York Yankees,103,59,0,.636,,2019,"$208,084,848"
